1:US:High Energy Physics Division, Argonne National Laboratory, Argonne, IL, USA
2:US:Physics Department, Brookhaven National Laboratory, Upton, NY, USA
3:BR:Centro Brasileiro de Pesquisas Físicas, Rio de Janeiro, Brazil
86:UK:SUPA‑School of Physics and Astronomy, University of Glasgow, Glasgow, UK
87:DE:Physikalisches Institut, Ruprecht-Karls-Universitat Heidelberg, Heidelberg, Germany
88:US:Department of Physics and Astronomy, University of Kentucky, Lexington, KY, USA
89:UK:Physics Department, Lancaster University, Lancaster, UK
90:SL:Department of Physics, Jožef Stefan Institute and University of Ljubljana, Ljubljana, Slovenia
91:SE:Fysiska institutionen, Lunds Universitet, Lund, Sweden
92:UK:School of Physics and Astronomy, University of Manchester, Manchester, UK
93:SL:University of Maribor, Ljubljana, Slovenia
94:US:Department of Physics, University of Massachusetts, Amherst, MA, USA
95:US:Department of Physics, The University of Michigan, Ann Arbor, MI, USA
96:PT:Departamento de Física, Universidade do Minho, Braga, Portugal
97:US:University of Nebraska-Lincoln, Lincoln, NE, USA
98:US:Department of Physics and Astronomy, University of New Mexico, Albuquerque, NM, USA
99:US:University of Notre Dame, Notre Dame, IN, USA
100:US:Homer L. Dodge Department of Physics and Astronomy, University of Oklahoma, Norman, OK, USA
101:US:The Ohio State University, Columbus, OH, USA
102:NO:Department of Physics, University of Oslo, Oslo, Norway
103:ES:Universidad de Oviedo, Oviedo, Spain
104:UK:Department of Physics, Oxford University, Oxford, UK
105:US:Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA, USA
106:US:Princeton University, Princeton, NJ, USA
107:US:Rice University, Houston, TX, USA
108:BR:Universidade Estadual Paulista, São Paulo, Brazil
109:IT:Dipartimento di Fisica, Università La Sapienza, Rome, Italy
110:US:University of Washington, Seattle, WA, USA
111:CN:School of Physics, Shandong University, Shandong, China
112:UK:Department of Physics and Astronomy, University of Sheffield, Sheffield, UK
113:BG:University of Sofia, Sofia, Bulgaria
114:US:Department of Physics, The University of Texas at Arlington, Arlington, TX, USA
115:RU:National Research Tomsk Polytechnic University, Tomsk, Russia
116:CA:Department of Physics, University of Toronto, Toronto, ON, Canada
117:IT:Dipartimento di Chimica, Fisica e Ambiente, Università di Udine, Udine, Italy
118:UK:Department of Physics, University of Warwick, Coventry, UK
119:US:University of Wisconsin-Madison, Madison, WI, USA
120:US:Department of Physics, Yale University, New Haven, CT, USA
121:CH:Physik‑Institut, Universität Zürich, Zurich, Switzerland
122:VN:IOP and GUST, Vietnam Academy of Science and Technology (VAST), Hanoi, Vietnam
123:US:Virginia Tech, Blacksburg, Virginia, VA, USA
124:NL:Vrije Universiteit Amsterdam, Amsterdam, The Netherlands
